RecordNo,endtime,qweek,is_confident,gender,age,region,household_children,employment_status,trust_Vac,worried_COVID,worried_VacSide,believe_VacEffect,freq_facemask,freq_handSanitizer,freq_avoidppl,freq_avoidHospital,freq_avoidCrowd,will_isolate,feel_worried,covid_is_dangerous,will_get_covid,social_outdoors,social_indoors,freq_avoidMixOthers,freq_avoidOvernight,freq_avoidTraveling,had_covid,vac_boost_beyond,covid_impact_future,work_outside,has_disease,vac_mandatory
41954,2022-01-03 19:33:00,44,True,Female,73,Quebec / Québec,None,Retired,3,4,1,5,5,5,5,5,5,Yes,No,7,4,No,Yes,5,5,5,,,,,,Yes
41955,2022-01-01 01:15:00,44,True,Female,60,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Full time employment,2,3,2,3,5,5,5,2,3,Yes,No,4,4,No,Yes,2,1,1,,,,Yes,Yes,Yes
41956,2022-01-01 01:32:00,44,True,Female,66,Quebec / Québec,None,Retired,2,3,1,4,5,4,5,5,4,Yes,No,6,3,No,No,4,5,5,,,,,,Yes
41957,2022-01-01 01:58:00,44,True,Female,71,Quebec / Québec,None,Retired,3,5,3,4,5,5,5,5,5,Yes,No,7,4,Yes,Yes,4,4,3,,,,,Yes,Yes
41958,2022-01-02 21:07:00,44,True,Female,53,Quebec / Québec,None,Full time employment,3,3,2,5,5,4,4,1,2,Yes,No,2,5,No,Yes,2,4,2,,,,Yes,,Yes
41959,2022-01-01 18:51:00,44,True,Female,24,British Columbia / Colombie Britanique,None,Full time employment,1,3,3,4,5,5,4,4,4,No,Yes,4,1,No,Yes,4,3,4,,,,Yes,No,Yes
41960,2022-01-01 02:04:00,44,False,Male,37,Quebec / Québec,More than 3,Full time employment,1,2,4,4,4,3,3,3,3,No,Yes,6,3,No,No,4,1,2,,,,Yes,,Yes
41961,2022-01-01 02:09:00,44,False,Female,54,British Columbia / Colombie Britanique,None,Full time employment,3,5,3,3,5,3,5,5,5,Not sure,Yes,7,4,No,No,5,5,5,,,,Yes,Yes,Yes
41962,2022-01-01 02:24:00,44,True,Female,72,Ontario,More than 3,Retired,2,4,2,3,5,5,5,3,5,No,No,7,7,Yes,No,5,5,5,,,,,Yes,Yes
41963,2022-01-01 02:28:00,44,True,Male,40,Quebec / Québec,More than 3,Unemployed,3,5,3,5,5,5,5,3,5,Yes,Yes,7,5,No,No,5,5,5,,,,,,Yes
41964,2022-01-01 02:36:00,44,False,Female,60,British Columbia / Colombie Britanique,None,Full time employment,1,2,4,3,5,4,5,5,3,Yes,No,2,4,No,Yes,5,5,5,,,,Yes,No,No
41965,2022-01-01 03:24:00,44,False,Female,60,British Columbia / Colombie Britanique,None,Full time employment,1,5,4,5,5,5,4,5,4,No,No,5,7,Yes,Yes,4,5,4,,,,Yes,Yes,Yes
41966,2022-01-01 04:44:00,44,False,Female,61,Quebec / Québec,None,Full time employment,2,5,1,3,5,2,5,5,5,Yes,Yes,5,5,No,No,5,5,5,,,,No,,Yes
41967,2022-01-01 04:50:00,44,False,Female,46,Ontario,1 or 2,Full time employment,2,4,5,4,5,3,5,5,5,Yes,No,3,5,No,No,5,5,5,,,,No,No,Yes
41968,2022-01-01 05:52:00,44,False,Female,33,Ontario,Prefer not to say,Part time employment,1,3,3,3,4,3,1,1,1,Not sure,No,3,4,No,No,1,1,1,,,,No,Yes,No
41969,2022-01-01 06:28:00,44,True,Female,69,British Columbia / Colombie Britanique,None,Retired,3,3,3,5,4,4,5,5,5,Yes,No,4,4,No,Yes,1,1,1,,,,,Yes,No
41970,2022-01-01 06:44:00,44,False,Female,53,Ontario,None,Part time employment,3,1,1,4,5,5,5,5,5,Yes,No,2,2,No,Yes,5,5,5,,,,Yes,No,Yes
41971,2022-01-01 14:44:00,44,False,Female,59,Ontario,None,Full time employment,2,3,3,3,5,5,5,1,5,Yes,No,7,3,No,No,1,1,1,,,,No,Yes,Yes
41972,2022-01-01 07:28:00,44,False,Female,66,Alberta,1 or 2,Retired,2,3,2,4,5,3,5,4,5,Yes,No,7,1,No,No,5,5,5,,,,,Yes,Yes
41973,2022-01-01 07:33:00,44,True,Female,58,Nova Scotia / Nouvelle-Écosse,None,Retired,1,3,3,3,5,5,5,5,5,Yes,No,5,5,No,No,5,1,4,,,,,Yes,Yes
41974,2022-01-01 07:49:00,44,False,Female,37,Quebec / Québec,1 or 2,Full time employment,0,2,3,3,5,5,5,4,4,Yes,Yes,5,5,No,No,5,5,5,,,,Yes,No,No
41975,2022-01-01 08:03:00,44,False,Female,79,British Columbia / Colombie Britanique,None,Retired,2,3,2,3,5,4,5,4,4,Yes,Yes,3,2,No,No,4,5,4,,,,,Yes,Yes
41976,2022-01-01 08:41:00,44,False,Female,49,Quebec / Québec,None,Part time employment,1,5,4,2,5,4,5,5,5,Yes,No,4,4,No,No,4,5,5,,,,Yes,,No
41977,2022-01-01 09:15:00,44,True,Female,34,Quebec / Québec,None,Part time employment,1,5,5,3,5,5,5,5,5,Yes,Yes,4,7,No,No,5,4,5,,,,Yes,,Yes
41978,2022-01-01 09:43:00,44,True,Male,71,British Columbia / Colombie Britanique,None,Retired,3,1,1,5,5,5,5,5,5,Yes,No,7,7,No,No,5,5,5,,,,,Yes,Yes
41979,2022-01-01 11:39:00,44,True,Female,64,Nova Scotia / Nouvelle-Écosse,None,Retired,2,5,4,5,5,5,5,5,5,Yes,No,6,7,No,No,5,5,5,,,,,No,Yes
41980,2022-01-01 12:16:00,44,True,Male,60,Ontario,More than 3,Retired,3,4,1,5,5,4,5,5,5,Not sure,No,6,5,No,No,5,5,5,,,,,Yes,Yes
41981,2022-01-01 12:31:00,44,True,Male,75,Ontario,None,Retired,3,5,2,5,5,5,5,5,5,Yes,No,7,5,No,No,4,5,5,,,,,Yes,Yes
41982,2022-01-01 13:04:00,44,True,Male,80,Quebec / Québec,None,Retired,3,1,1,5,5,4,5,5,3,Yes,Yes,6,2,No,Yes,4,5,5,,,,,,Yes
41983,2022-01-01 13:33:00,44,True,Male,71,Quebec / Québec,None,Retired,1,1,4,3,5,4,5,5,5,Yes,No,1,1,No,No,4,5,5,,,,,,Yes
41984,2022-01-01 13:42:00,44,True,Male,75,Quebec / Québec,None,Retired,3,4,2,4,5,5,5,5,4,Yes,No,5,2,No,No,4,5,5,,,,,,Yes
41985,2022-01-01 14:01:00,44,True,Female,72,Quebec / Québec,None,Retired,2,3,3,3,5,5,5,5,3,Yes,Yes,5,4,No,Yes,5,2,3,,,,,,Yes
41986,2022-01-01 14:05:00,44,True,Male,73,Ontario,None,Retired,1,4,2,2,5,5,5,4,4,Yes,No,5,5,No,No,4,4,4,,,,,Yes,Yes
41987,2022-01-01 14:11:00,44,False,Male,59,Quebec / Québec,None,Part time employment,2,3,3,5,5,5,5,5,1,No,No,4,4,No,No,5,1,5,,,,Yes,,Yes
41988,2022-01-01 14:15:00,44,False,Female,46,Ontario,None,Full time employment,2,3,2,4,4,4,5,3,4,Yes,No,3,5,No,No,2,4,4,,,,Yes,No,Yes
41989,2022-01-01 14:28:00,44,True,Female,67,Ontario,None,Retired,3,5,2,4,5,5,5,4,5,Yes,No,7,4,No,No,4,5,5,,,,,Yes,Yes
41990,2022-01-01 14:44:00,44,False,Female,62,Quebec / Québec,None,Full time employment,1,2,3,4,5,4,5,5,5,Yes,No,4,5,No,Yes,5,4,4,,,,Yes,No,No
41991,2022-01-01 14:55:00,44,False,Male,49,Ontario,None,Full time employment,1,4,4,4,5,3,4,4,5,Yes,No,6,5,No,No,4,5,4,,,,Yes,No,Yes
41992,2022-01-01 15:01:00,44,True,Female,72,Alberta,None,Retired,3,3,1,3,5,4,5,4,5,Yes,No,7,4,No,No,4,5,4,,,,,Yes,Yes
41993,2022-01-01 15:03:00,44,True,Male,69,New Brunswick / Nouveau-Brunswick,None,Retired,3,3,2,5,5,5,5,5,4,Yes,No,3,3,No,Yes,4,5,5,,,,,,Yes
41994,2022-01-01 15:15:00,44,False,Female,79,New Brunswick / Nouveau-Brunswick,None,Retired,2,3,1,3,5,5,5,2,4,Yes,No,6,2,No,No,4,5,2,,,,,Yes,Yes
41995,2022-01-01 15:19:00,44,True,Female,49,Quebec / Québec,None,Full time employment,3,2,2,4,5,5,4,5,3,Yes,No,1,5,No,No,5,5,5,,,,Yes,,Yes
41996,2022-01-01 15:23:00,44,True,Female,52,Quebec / Québec,None,Not working,3,4,5,5,5,5,5,5,5,No,No,7,7,No,No,5,5,5,,,,,,No
41997,2022-01-01 15:25:00,44,True,Female,73,Quebec / Québec,None,Retired,3,5,1,4,1,3,5,5,5,Yes,No,7,2,No,No,5,5,5,,,,,,Yes
41998,2022-01-01 15:28:00,44,True,Female,60,Quebec / Québec,None,Retired,2,5,5,4,5,5,5,5,5,Yes,No,7,7,No,No,4,5,4,,,,,,Yes
41999,2022-01-01 15:30:00,44,True,Female,75,Quebec / Québec,None,Retired,2,1,1,4,5,5,5,5,5,Yes,No,7,1,No,No,5,5,5,,,,,,Yes
42000,2022-01-01 15:47:00,44,False,Female,31,Quebec / Québec,1 or 2,Full time employment,1,2,3,3,5,1,1,1,1,No,No,4,7,Yes,Yes,1,1,1,,,,Yes,,Yes
42001,2022-01-01 15:50:00,44,True,Female,57,Alberta,None,Other,2,3,3,3,5,4,5,5,4,Yes,No,4,4,No,No,5,5,5,,,,,Yes,Yes
42002,2022-01-01 15:50:00,44,False,Female,62,Quebec / Québec,None,Retired,2,5,1,4,5,5,5,5,5,Yes,No,4,4,No,No,5,5,5,,,,,,Yes
42003,2022-01-01 16:01:00,44,True,Male,84,Ontario,None,Retired,3,4,4,4,5,5,5,5,5,Yes,No,7,3,No,No,5,5,5,,,,,Yes,Yes
42004,2022-01-01 16:23:00,44,False,Male,24,Ontario,None,Full time employment,3,3,2,5,3,4,4,4,4,Yes,No,4,3,No,No,5,4,3,,,,Yes,No,Yes
42005,2022-01-01 16:34:00,44,True,Male,88,British Columbia / Colombie Britanique,None,Retired,2,3,2,4,4,4,3,5,4,No,No,5,4,No,No,3,5,5,,,,,Yes,Yes
42006,2022-01-01 16:36:00,44,False,Female,54,Ontario,1 or 2,Part time employment,0,1,5,1,1,3,1,1,1,Not sure,No,1,1,Yes,No,1,1,1,,,,No,Yes,No
42007,2022-01-01 16:48:00,44,True,Male,58,Quebec / Québec,None,Full time employment,3,4,1,5,5,5,5,5,3,Yes,No,7,2,No,No,5,5,5,,,,Yes,,Yes
42008,2022-01-01 17:21:00,44,False,Male,43,Ontario,More than 3,Full time employment,2,5,3,2,5,5,1,5,5,Yes,Yes,7,1,No,No,5,5,5,,,,Yes,Yes,Yes
42009,2022-01-01 17:31:00,44,True,Male,83,Ontario,None,Retired,3,1,2,5,5,4,5,1,3,No,No,4,3,No,No,3,2,1,,,,,Yes,Yes
42010,2022-01-01 17:51:00,44,True,Male,60,Quebec / Québec,1 or 2,Full time employment,2,4,2,2,5,5,5,3,4,Yes,No,5,4,No,Yes,4,5,4,,,,Yes,,Yes
42011,2022-01-01 17:53:00,44,False,Female,70,Quebec / Québec,None,Retired,3,2,1,5,5,4,5,5,5,Yes,No,2,2,No,No,5,5,5,,,,,,Yes
42012,2022-01-01 17:55:00,44,True,Female,70,British Columbia / Colombie Britanique,None,Retired,1,4,5,5,5,5,5,5,5,Yes,No,7,3,No,No,5,5,5,,,,,Yes,Yes
42013,2022-01-01 18:00:00,44,True,Male,46,Ontario,More than 3,Full time employment,3,3,1,5,5,5,4,5,4,Yes,No,4,4,No,Yes,4,5,4,,,,Yes,No,Yes
42014,2022-01-01 19:00:00,44,True,Female,54,Quebec / Québec,1 or 2,Full time employment,3,4,2,5,5,5,5,5,4,Yes,No,4,5,No,No,5,5,2,,,,Yes,,Yes
42015,2022-01-03 15:08:00,44,True,Female,63,Quebec / Québec,None,Retired,2,3,3,4,5,5,5,5,5,Yes,No,3,4,No,No,4,5,5,,,,,Yes,No
42016,2022-01-01 18:11:00,44,True,Male,61,Ontario,None,Retired,2,4,2,2,5,5,5,5,5,Yes,No,3,4,No,No,5,5,5,,,,,Yes,Yes
42017,2022-01-01 18:15:00,44,True,Female,64,Alberta,1 or 2,Retired,1,3,4,4,5,5,5,5,4,Not sure,No,7,4,No,Yes,4,5,5,,,,,Yes,Yes
42018,2022-01-01 18:25:00,44,True,Male,42,Ontario,More than 3,Full time employment,1,2,2,4,5,3,4,1,3,Yes,No,2,6,No,Yes,4,4,4,,,,No,No,Yes
42019,2022-01-01 18:26:00,44,False,Male,63,Quebec / Québec,None,Retired,0,5,5,3,5,5,5,5,5,Yes,Yes,7,7,No,No,5,5,5,,,,,No,Yes
42020,2022-01-01 18:41:00,44,False,Female,78,Alberta,None,Retired,3,1,1,3,5,5,5,5,4,Yes,No,5,1,No,No,3,3,5,,,,,Yes,Yes
42021,2022-01-01 19:35:00,44,True,Female,75,Ontario,More than 3,Retired,2,3,2,5,5,4,1,1,5,Yes,No,5,1,No,No,1,5,1,,,,,Yes,Yes
42022,2022-01-01 19:48:00,44,False,Female,62,Quebec / Québec,None,Retired,3,4,5,4,5,3,5,5,4,Yes,No,4,2,No,No,3,5,5,,,,,,Yes
42023,2022-01-01 19:58:00,44,False,Male,76,Ontario,None,Retired,2,4,1,3,3,3,5,1,5,Yes,No,7,6,No,No,4,5,4,,,,,Yes,Yes
42024,2022-01-01 20:14:00,44,True,Female,31,Ontario,1 or 2,Unemployed,2,3,3,3,5,5,5,5,5,Yes,Yes,4,4,No,No,5,5,5,,,,,Yes,Yes
42025,2022-01-01 21:17:00,44,True,Male,35,Ontario,None,Unemployed,3,1,1,5,5,5,5,5,5,Yes,No,2,1,No,No,5,5,5,,,,,No,No
42026,2022-01-01 21:34:00,44,False,Female,26,British Columbia / Colombie Britanique,1 or 2,Not working,1,4,2,3,5,5,5,1,4,Yes,No,4,3,No,No,3,3,3,,,,,Yes,Yes
42027,2022-01-01 22:40:00,44,False,Female,40,Quebec / Québec,None,Full time employment,3,3,1,5,5,5,5,4,3,Yes,No,2,6,No,No,4,3,4,,,,No,,Yes
42028,2022-01-01 22:45:00,44,True,Female,56,British Columbia / Colombie Britanique,None,Retired,3,2,2,5,5,5,5,3,4,Yes,No,3,2,No,Yes,2,3,2,,,,,Yes,Yes
42029,2022-01-01 22:49:00,44,False,Male,21,Quebec / Québec,More than 3,Full time employment,2,5,5,3,5,5,5,5,4,Yes,Yes,6,7,No,No,2,5,5,,,,Yes,,Yes
42030,2022-01-01 22:58:00,44,True,Female,26,British Columbia / Colombie Britanique,None,Part time employment,3,3,3,5,5,4,5,5,4,Yes,No,3,4,No,No,3,5,5,,,,Yes,No,Yes
42031,2022-01-02 00:25:00,44,True,Male,60,Alberta,None,Full time employment,2,3,3,3,5,5,5,5,5,No,No,4,4,No,No,5,5,5,,,,Yes,Yes,Yes
42032,2022-01-02 00:43:00,44,False,Female,62,British Columbia / Colombie Britanique,None,Full time employment,0,1,3,1,2,2,1,5,1,Yes,No,1,1,Yes,Yes,1,1,1,,,,Yes,No,No
42033,2022-01-02 01:18:00,44,True,Female,66,British Columbia / Colombie Britanique,None,Retired,3,2,5,5,5,5,5,5,5,Yes,No,2,2,Yes,No,5,5,4,,,,,Yes,Yes
42034,2022-01-02 01:42:00,44,False,Female,23,Ontario,None,Part time employment,3,4,4,5,5,5,5,5,5,Yes,Yes,2,1,No,No,5,5,5,,,,Yes,Yes,Yes
42035,2022-01-02 01:46:00,44,True,Male,67,Quebec / Québec,None,Retired,2,4,4,4,5,5,5,5,5,Yes,No,5,4,No,No,5,5,5,,,,,,Yes
42036,2022-01-02 01:52:00,44,True,Female,71,Ontario,None,Retired,3,5,5,5,5,5,5,5,5,Yes,No,7,3,No,No,5,5,5,,,,,Yes,Yes
42037,2022-01-02 01:53:00,44,True,Female,68,Quebec / Québec,1 or 2,Retired,3,5,2,5,5,5,5,5,5,Yes,No,7,3,No,No,5,5,5,,,,,,Yes
42038,2022-01-02 02:11:00,44,True,Male,46,Quebec / Québec,1 or 2,Full time employment,2,3,3,3,3,3,3,3,3,No,Yes,4,4,No,No,3,3,3,,,,Yes,,No
42039,2022-01-02 02:21:00,44,True,Male,71,Ontario,None,Retired,2,4,1,2,5,4,5,4,4,Yes,No,5,3,No,No,5,5,5,,,,,Yes,No
42040,2022-01-02 02:48:00,44,True,Female,18,Quebec / Québec,None,Full time student,3,5,3,4,5,4,4,5,5,Yes,No,5,6,No,No,4,4,4,,,,,,Yes
42042,2022-01-02 02:49:00,44,True,Male,66,Quebec / Québec,1 or 2,Retired,2,4,2,4,5,4,5,5,5,Yes,No,7,2,No,No,5,5,5,,,,,,Yes
42043,2022-01-02 02:54:00,44,True,Female,59,Quebec / Québec,None,Retired,2,4,2,2,4,5,5,5,5,Yes,No,3,4,No,No,4,5,5,,,,,,Yes
42044,2022-01-04 15:51:00,44,False,Female,19,Ontario,More than 3,Unemployed,2,5,5,3,5,5,5,5,5,No,No,7,2,No,No,5,5,5,,,,,Yes,Yes
42045,2022-01-02 03:18:00,44,False,Female,49,Ontario,1 or 2,Full time employment,2,4,3,3,5,5,5,5,5,Yes,No,4,6,No,Yes,4,5,3,,,,Yes,No,Yes
42046,2022-01-02 03:22:00,44,True,Female,74,Ontario,None,Retired,3,5,1,5,5,5,5,4,5,Yes,No,7,4,No,No,5,5,5,,,,,Yes,Yes
42047,2022-01-02 03:24:00,44,True,Male,68,Ontario,None,Retired,2,4,4,3,5,5,5,5,5,Yes,No,5,5,No,No,5,5,4,,,,,No,Yes
42048,2022-01-02 03:45:00,44,False,Female,35,Quebec / Québec,None,Unemployed,2,3,4,3,5,5,5,5,5,Yes,No,3,4,No,No,5,5,5,,,,,No,No
42049,2022-01-02 03:48:00,44,False,Male,73,Saskatchewan,None,Retired,2,1,4,2,4,3,5,5,4,No,Yes,3,2,No,No,3,5,2,,,,,Yes,Yes
42050,2022-01-03 10:33:00,44,True,Female,79,Quebec / Québec,None,Part time employment,3,3,1,5,5,5,5,5,4,Yes,Yes,7,1,Yes,No,5,5,5,,,,Yes,,Yes
42051,2022-01-02 04:00:00,44,True,Female,36,Alberta,None,Full time employment,3,5,5,5,5,5,5,3,5,Yes,No,7,4,Yes,No,5,5,3,,,,Yes,No,Yes
42052,2022-01-02 04:08:00,44,False,Female,68,Ontario,None,Retired,2,3,3,4,5,5,5,5,5,Yes,Yes,6,4,No,No,5,5,5,,,,,No,Yes
42053,2022-01-02 04:11:00,44,False,Male,68,Quebec / Québec,None,Retired,2,5,3,4,5,4,5,2,5,Yes,No,6,1,No,No,4,5,5,,,,,No,Yes
42054,2022-01-02 04:16:00,44,True,Female,64,Alberta,None,Unemployed,3,4,3,2,5,4,4,1,4,Yes,No,5,5,No,Yes,5,1,2,,,,,Yes,Yes
42055,2022-01-02 04:32:00,44,True,Female,66,British Columbia / Colombie Britanique,None,Retired,2,3,3,4,5,5,5,5,5,Yes,No,3,4,No,No,5,5,5,,,,,Yes,Yes
42056,2022-01-03 02:38:00,44,False,Female,21,Quebec / Québec,None,Full time student,2,1,4,3,5,4,5,4,4,Yes,No,1,1,No,No,5,5,5,,,,,No,No
42057,2022-01-04 02:34:00,44,True,Male,71,British Columbia / Colombie Britanique,None,Retired,3,1,5,5,5,5,5,4,5,Yes,No,7,3,No,No,5,5,5,,,,,Yes,Yes
42059,2022-01-02 05:56:00,44,True,Female,72,Quebec / Québec,None,Not working,2,1,5,5,5,5,5,5,5,Yes,No,7,1,No,No,5,5,5,,,,,,Yes
42060,2022-01-02 06:07:00,44,True,Female,54,Ontario,1 or 2,Not working,2,2,3,5,5,5,5,5,1,Yes,Yes,7,1,No,No,5,4,1,,,,,Yes,Yes
42061,2022-01-02 07:27:00,44,True,Female,47,British Columbia / Colombie Britanique,None,Not working,1,3,3,3,5,5,5,3,4,Yes,Yes,7,5,No,Yes,4,3,4,,,,,Yes,Yes
42062,2022-01-02 09:17:00,44,False,Female,74,British Columbia / Colombie Britanique,None,Part time employment,0,2,5,1,1,3,1,1,4,Yes,No,2,4,No,Yes,1,1,1,,,,No,No,No
42063,2022-01-02 10:05:00,44,True,Male,67,Quebec / Québec,None,Retired,2,5,5,4,5,5,5,5,5,Yes,Prefer not to say,3,1,No,No,5,5,5,,,,,,Yes
42064,2022-01-02 10:54:00,44,True,Male,56,Ontario,None,Unemployed,3,4,2,2,5,4,5,2,3,Yes,No,4,1,No,No,2,3,3,,,,,Yes,Yes
42065,2022-01-02 11:40:00,44,True,Male,57,Quebec / Québec,None,Unemployed,3,5,5,5,5,5,5,5,5,Yes,Yes,6,5,No,No,5,5,5,,,,,,No
42066,2022-01-02 11:45:00,44,True,Male,59,New Brunswick / Nouveau-Brunswick,None,Full time employment,3,2,1,4,5,4,5,5,4,Not sure,No,3,4,No,Yes,5,5,5,,,,Yes,Yes,Yes
42067,2022-01-02 11:49:00,44,False,Female,47,Newfoundland & Labrador / Terre-Neuve-et-Labrador,None,Unemployed,3,5,3,3,5,5,5,5,5,Yes,Yes,7,7,No,No,5,5,5,,,,,Yes,Yes
42068,2022-01-02 12:34:00,44,True,Male,55,Saskatchewan,None,Full time employment,1,2,3,3,5,5,5,4,4,Yes,No,3,5,No,Yes,4,1,4,,,,Yes,Yes,Yes
42069,2022-01-02 12:49:00,44,True,Female,37,British Columbia / Colombie Britanique,None,Full time employment,3,5,3,4,5,5,4,3,5,Yes,No,7,6,No,No,5,5,5,,,,No,No,Yes
42070,2022-01-02 12:53:00,44,False,Female,22,Quebec / Québec,1 or 2,Not working,1,1,1,1,5,4,5,5,4,Yes,No,1,4,No,No,5,5,5,,,,,,No
42071,2022-01-02 12:55:00,44,False,Male,74,Ontario,1 or 2,Retired,2,1,1,2,5,4,5,4,5,Not sure,No,1,1,No,No,4,5,2,,,,,Yes,Yes
42072,2022-01-02 12:57:00,44,True,Male,62,Ontario,None,Retired,3,1,2,5,5,5,5,3,5,Yes,No,2,7,Yes,No,4,5,5,,,,,No,Yes
42073,2022-01-02 14:13:00,44,True,Male,68,Quebec / Québec,None,Retired,3,3,1,3,1,4,5,5,5,Yes,No,4,4,No,No,5,5,5,,,,,,Yes
42074,2022-01-02 14:29:00,44,True,Male,68,Quebec / Québec,None,Retired,3,2,1,5,5,5,5,5,4,Yes,No,5,4,No,No,4,5,5,,,,,,Yes
42075,2022-01-02 15:07:00,44,True,Male,79,Quebec / Québec,1 or 2,Retired,3,3,4,5,5,5,5,5,5,Yes,No,4,4,No,No,5,5,5,,,,,,Yes
42076,2022-01-02 15:19:00,44,False,Male,40,Quebec / Québec,1 or 2,Unemployed,1,2,5,4,5,5,5,4,4,Yes,No,3,4,No,No,4,4,3,,,,,,Yes
42077,2022-01-02 15:25:00,44,True,Male,69,Ontario,None,Part time employment,3,1,1,5,5,5,5,4,5,Yes,No,2,1,No,Yes,4,5,4,,,,Yes,Yes,Yes
42078,2022-01-02 15:36:00,44,True,Male,75,New Brunswick / Nouveau-Brunswick,None,Retired,3,3,4,5,5,4,5,5,4,Yes,No,6,3,No,Yes,4,5,4,,,,,Yes,Yes
42079,2022-01-02 15:36:00,44,True,Male,38,Ontario,1 or 2,Full time employment,3,4,1,5,5,5,5,5,5,Yes,No,7,5,No,No,5,5,5,,,,No,Yes,Yes
42080,2022-01-02 15:44:00,44,True,Male,54,Quebec / Québec,1 or 2,Full time employment,2,3,3,4,5,5,4,2,3,Yes,Yes,1,4,No,Yes,2,5,5,,,,Yes,,Yes
42081,2022-01-02 15:46:00,44,True,Female,67,Quebec / Québec,None,Retired,3,3,2,4,5,5,5,5,5,Yes,No,3,2,No,No,5,5,5,,,,,,Yes
42082,2022-01-02 15:49:00,44,True,Female,56,Ontario,None,Part time employment,3,2,3,4,5,5,5,3,3,Yes,No,1,1,No,Yes,1,2,3,,,,Yes,Yes,Yes
42083,2022-01-02 15:57:00,44,True,Female,54,Quebec / Québec,None,Full time employment,3,4,2,5,5,5,5,5,5,Yes,No,5,2,No,Yes,4,5,5,,,,No,,Yes
42084,2022-01-02 15:59:00,44,False,Female,80,Quebec / Québec,None,Retired,3,5,1,5,5,5,5,5,5,Yes,No,7,3,Yes,Yes,5,5,5,,,,,,Yes
42085,2022-01-02 16:37:00,44,True,Male,68,Quebec / Québec,None,Retired,2,3,4,5,5,5,5,5,5,Yes,No,6,3,No,No,5,5,5,,,,,,Yes
42086,2022-01-02 16:45:00,44,True,Female,58,Ontario,None,Retired,3,1,1,5,5,5,5,5,2,No,No,7,1,No,Yes,5,5,5,,,,,Yes,Yes
42087,2022-01-02 16:48:00,44,True,Female,55,Ontario,None,Full time employment,1,2,3,2,5,5,5,3,4,Yes,No,3,5,No,Yes,2,2,2,,,,Yes,Yes,Yes
42088,2022-01-02 16:54:00,44,True,Male,67,British Columbia / Colombie Britanique,1 or 2,Other,2,4,3,3,4,4,4,3,3,Not sure,No,6,6,Yes,Yes,4,4,3,,,,,Yes,Yes
42089,2022-01-02 16:58:00,44,False,Female,52,Manitoba,None,Full time employment,2,4,4,3,5,5,5,5,5,Yes,No,4,4,No,Yes,4,5,5,,,,Yes,Yes,Yes
42090,2022-01-02 17:05:00,44,True,Male,74,Ontario,None,Retired,3,3,1,5,4,4,3,3,4,Yes,No,5,4,No,No,4,3,4,,,,,Yes,Yes
42091,2022-01-02 17:14:00,44,True,Female,53,Quebec / Québec,None,Full time employment,2,3,3,4,5,5,4,4,4,Yes,Yes,3,3,No,Yes,4,5,5,,,,Yes,,Yes
